Cierre,Date,Cartera,Close,Saldo
200612,2006-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,10516591.43,268834832.6
200701,2007-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,11085556.41,267831281.3
200702,2007-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,11326305.62,267287937.9
200703,2007-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,11515697.76,276683899.1
200704,2007-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,11324753.58,276499702.9
200705,2007-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,11680984.15,275640266.5
200706,2007-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,12072846.52,275415450.2
200707,2007-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,12155196.88,274119705.5
200708,2007-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,12288454.97,273178402.7
200709,2007-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,12639372.8,272427689.7
200710,2007-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,12881096.69,271468754.3
200711,2007-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,13355929.38,270582477.6
200712,2007-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,13016221.68,269512581.3
200801,2008-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,13567049.44,268291130.6
200802,2008-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,13932590.59,267359185.6
200803,2008-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,13764679.76,278150822.2
200804,2008-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,14062322.63,277087121.4
200805,2008-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,14531175.45,276181702
200806,2008-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,14930426.86,275246599.3
200807,2008-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION         ,15353258.32,273664789.5
200808,2008-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,15815941.45,272748163.2
200809,2008-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,16273557.19,271890769.2
200810,2008-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,16709004.26,270854130.9
200811,2008-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION         ,17245609.73,270875296.5
200812,2008-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,17614968.43,269712488.3
200901,2009-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,18336595.81,268359793.3
200902,2009-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,16375039.96,267264156.5
200903,2009-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,18910958.72,277432269.3
200904,2009-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,19281557.29,276673117.2
200905,2009-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,19679681.65,275671511.4
200906,2009-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,19966889.76,274772140.5
200907,2009-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,20301774.38,273506297.4
200908,2009-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,20645311.8,272432942.8
200909,2009-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,20934049.04,271376798.3
200910,2009-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,21287554.98,270375850.4
200911,2009-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,21626632.32,269313054
200912,2009-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,21760512.76,267873688.2
201001,2010-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,22988100.62,266649141.4
201002,2010-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,23410073.83,265566007.5
201003,2010-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,23583346.35,276871647.2
201004,2010-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,24183640.92,275809755.9
201005,2010-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,24577055.77,274467509.5
201006,2010-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,25000293.35,275106478.4
201007,2010-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,25327254.8,274178429.5
201008,2010-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,25676369.63,272959167.1
201009,2010-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,26165466.38,271603534.5
201010,2010-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,26704092.17,270790713.1
201011,2010-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,27335522.27,269847003.1
201012,2010-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,27706146.43,268424190.1
201101,2011-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,29154702.4,266856167.1
201102,2011-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,29576424.03,267655776.8
201103,2011-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION         ,30101179.64,277599853.6
201104,2011-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,30708648.92,276804752.3
201105,2011-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,31230179.02,275819520
201106,2011-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,31665913.75,274830076.9
201107,2011-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,32130744.52,273831765.5
201108,2011-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,32714930.67,272705364
201109,2011-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,33153626.75,271793882
201110,2011-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,33700289.13,270747322.2
201111,2011-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,34153013.24,269285781.4
201112,2011-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,34629076.13,268028859
201201,2012-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,36434248.81,266683347.2
201202,2012-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,36895715.99,265535757.3
201203,2012-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,37470483.61,276164349.1
201204,2012-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,38227946.63,275207563.4
201205,2012-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,38729786.28,274084245.3
201206,2012-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,39141006.35,272874311.5
201207,2012-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,39400221.4,271513398.2
201208,2012-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,39744611.51,270256581.9
201209,2012-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,40325277.96,269752901.2
201210,2012-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,40757013.56,268405188.7
201211,2012-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,41185235.81,266959022.8
201212,2012-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,41446567.81,265295503.5
201301,2013-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,43460347.74,263833314.3
201302,2013-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,43800562.87,262968537.4
201303,2013-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,44376670.37,272298886.8
201304,2013-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,44923100.29,270815443.6
201305,2013-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,45338692.97,269265431.7
201306,2013-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,45911801.89,268315368.2
201307,2013-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,46280593.35,267210709.8
201308,2013-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,46790506.74,266102932.1
201309,2013-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,47377542.77,264570077.4
201310,2013-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,47888155.06,263351823.9
201311,2013-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,48380031.6,262359717.5
201312,2013-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,48647707.59,260601561.8
201401,2014-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,51311030.06,259152451.6
201402,2014-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,51785675.35,257839339.9
201403,2014-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,52189213.61,266400360.3
201404,2014-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,52792961.35,265256720.6
201405,2014-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,53407399.37,264268085.4
201406,2014-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,53720515.86,262513963.4
201407,2014-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,53943118.86,260543971.7
201408,2014-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,54237502.09,258838882.1
201409,2014-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,54844674.93,257763189.5
201410,2014-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,55361472.71,257008095.1
201411,2014-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,55906891.46,255551503.9
201412,2014-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,56046173.85,254071853.6
201501,2015-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,58640129.8,252577452.6
201502,2015-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,52865945.03,250898166.7
201503,2015-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,53194549.75,259833578.5
201504,2015-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,53560803.19,258501110
201505,2015-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,54302914.46,257205996
201506,2015-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,54752761.13,255870672.8
201507,2015-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,55192084.28,254375901.1
201508,2015-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,55701110.5,253245916.3
201509,2015-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,56321457.81,252548356.2
201510,2015-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,57046749.98,251893789.4
201511,2015-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,57591837.62,250947790.2
201512,2015-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,57919797.96,248955765.6
201601,2016-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,60649880.78,247669752
201602,2016-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,61077461.86,246637098.5
201603,2016-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,61686058.7,256020197.9
201604,2016-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,62256673.1,254649355.5
201605,2016-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,62927992.43,253607931
201606,2016-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,63537570.3,252577922.9
201607,2016-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,64049405.38,251513833.3
201608,2016-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,64517481.86,250118800.6
201609,2016-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,65007981.48,248864004.1
201610,2016-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,65531679.95,247672355.7
201611,2016-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,65779511.32,246195425.9
201612,2016-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,68276736.56,244837829.3
201701,2017-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,72793142.07,243469318.3
201702,2017-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73326792.15,242249953
201703,2017-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,72728149.81,248440093.7
201704,2017-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73286405.95,247133422
201705,2017-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73221078.47,245594868.6
201706,2017-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,73669694.79,244132416.5
201707,2017-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,74084136.16,243002113.3
201708,2017-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,74257301.35,241371883.4
201709,2017-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,74858838.88,240209842.3
201710,2017-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,75374285.09,239298851.1
201711,2017-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,75914122.85,238532580.1
201712,2017-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,76076855.64,236644623.7
201801,2018-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,84304629.52,235576652
201802,2018-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,84905653.47,234884591.4
201803,2018-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,85427812.21,249551824.5
201804,2018-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,86193678.24,248193549.4
201805,2018-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,86740775.78,246603868.4
201806,2018-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,87437884.52,245599750.2
201807,2018-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,87915257.29,243819102.7
201808,2018-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,88455516.7,241726334.2
201809,2018-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,88688928.32,241978800.2
201810,2018-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,89349449.88,239196511.8
201811,2018-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,90134895.45,240120664.7
201812,2018-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,90766581.67,238867813.8
201901,2019-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,105986292.5,237214579.3
201902,2019-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,106282519.7,235601899
201903,2019-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,107086850.7,245876740.1
201904,2019-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,107974540.2,245075554
201905,2019-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,108569589.8,244064665.1
201906,2019-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,109470044.2,243334446.4
201907,2019-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,110415520.2,242744446.8
201908,2019-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,111069482,241729111.1
201909,2019-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,111983513.4,240939117.4
201910,2019-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,112882553.7,240125392.1
201911,2019-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,113619651.5,238898107
201912,2019-12-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,114283646.2,237950814.8
202001,2020-01-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,137494173.7,235018434.5
202002,2020-02-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,136839712.6,230001603.2
202003,2020-03-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,136924524.9,230732252.6
202004,2020-04-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,137768900.3,230089320.9
202005,2020-05-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,139074937.5,228892478.5
202006,2020-06-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,140503733.6,228484301.6
202007,2020-07-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,141158914.5,227558017.8
202008,2020-08-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,141838720.9,226069448.1
202009,2020-09-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,142391272.8,224051580.9
202010,2020-10-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,143196615.3,222923470.1
202011,2020-11-01,AH-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,144229071.3,222365272.4
